id,name,title,artist_name,art_type,park,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
914965299,PA00195000,Presidential Portrait: Abraham Lincoln,Victor David Brenner,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43820733,-79.9969455
1827846992,PA00196000,Presidential Portrait: George Washington,Victor David Brenner,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43808731,-79.99707815
1728686833,PA00198000,Presidential Portrait: Woodrow Wilson,Paul Manship,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43805573,-79.99663599
1472146363,PA00199000,Presidential Portrait: Theodore Roosevelt,Berthold Nebel,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43823258,-79.99721276
775210147,PA00200000,Presidential Portrait: Franklin Delano Roosevelt,Unknown,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43825634,-79.99667811
277423531,PA00201000,Gettysburg Address Plaque,n/a,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43787134,-79.99706038
1425046573,PA00202000,City-County Building Plaque,n/a,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43802459,-79.99735415
1488683786,PA00203000,Elevator Doors,Unknown,Historic Art,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43813153,-79.99678127
1347336338,PA00204000,The Workers,Industrial Arts Co-Op,Modern and Contemporary Art,Southside Riverfront Park,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43221226,-79.97610075
2029072572,PA00205000,Drinking Fountain,Frank Vittor,Historic Art,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.44072797,-79.9485133
1116030770,PA00206000,Drinking Fountain,Frank Vittor,Historic Art,Allegheny Commons,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45261797,-80.00190332
603636456,PA00207000,Untitled,Virgil Cantini,Modern and Contemporary Art,Crosstown,,Central Business District,6,2,42003020100,6,2,2,2-4,40.44105897,-79.99385533
1678423235,WM00001000,Colonel James Anderson Monument,Daniel Chester French,Individual and Historic Monuments,Buhl Community Park at Allegheny Square,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00001000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45303,-80.00592
1527419187,WM00002000,George Washington Memorial,Edward Ludwig Albert Pausch,Individual and Historic Monuments,Allegheny Commons,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00002000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45455902,-80.00957454
1790632922,WM00003000,Hampton Battery Memorial,Unknown,War Memorials,Allegheny Commons,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00003000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-20,40.45089,-80.00096
61964334,WM00004000,Maine Memorial,Charles Keck,War Memorials,Allegheny Commons,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00004000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45315,-80.01094
158501549,WM00005000,Civil War Soldiers Monument (Allegheny County),Peter C. Reniers,War Memorials,Allegheny Commons,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00005000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45305,-80.0125
1808888159,WM00006000,Thomas Armstrong,Unknown,Individual and Historic Monuments,Allegheny Commons,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00006000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.4521243,-80.00971947
309028013,WM00007000,World War I & II Honor Roll (23rd Ward),n/a,War Memorials,Allegheny Commons,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00007000.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45066,-80.00276
1850330364,WM00008000,Beechview Community War Memorial,n/a,War Memorials,Beechview Monument,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00008000.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.40385896,-80.0301892
396416564,WM00009000,Beechview Centennial Monument,n/a,Individual and Historic Monuments,Beechview Healthy Active Living Center Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00009000.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.40369817,-80.03018713
1437946228,WM00010000,World War I Honor Roll (Beechview),n/a,War Memorials,Beechview Monument,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00010000.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.40379318,-80.03011872
946081306,WM00011000,World War II Honor Roll (Beechview),n/a,War Memorials,Beechview Monument,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00011000.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.40385426,-80.03012812
1463479797,WM00012000,World War I Honor Roll (18th Ward),n/a,War Memorials,Warrington Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00012000.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42125359,-80.00070557
597428944,WM00013000,World War II Honor Roll (18th Ward),n/a,War Memorials,Warrington Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00013000.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-21,40.42115112,-80.00072348
919208168,WM00014000,World War II Memorial (Eighth Ward),Frank Vittor,War Memorials,Morrow Triangle Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00014000.jpg,Bloomfield,7,8,42003080600,2,8,5,3-23,40.4566,-79.93907
1895229416,WM00015000,Armed Forces Monument (27th Ward),n/a,War Memorials,Legion Memorial Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00015000.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48169201,-80.03479099
1470950266,WM00016000,American Legion Marker with Flagpole,n/a,War Memorials,Legion Memorial Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00016000.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48222,-80.03506
515196271,WM00017000,Sacrifice (World War I Honor Roll),Allen George Newman,War Memorials,Legion Memorial Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00017000.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48191,-80.03477
2109761005,WM00018000,World War II Honor Roll (27th Ward),n/a,War Memorials,Legion Memorial Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00018000.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.4821,-80.03496
1180064898,WM00019000,Cannon (Brookline),n/a,Individual and Historic Monuments,Brookline Monument,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00019000.jpg,Brookline,4,19,42003191800,5,19,6,4-26,40.39176,-80.01714
1798948019,WM00020000,World War I Honor Roll (Carrick),n/a,War Memorials,Phillips Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00020000.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.3913,-79.99027
1298981276,WM00021000,Boulevard of the Allies Memorial Columns,Frank Vittor,War Memorials,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.437,-79.9982
1390195623,WM00022000,Memorial Honor Roll (Employees of the City of Pittsburgh),n/a,War Memorials,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43856463,-79.99727907
855858792,WM00023000,First Ward Veterans Memorial,n/a,War Memorials,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43816,-79.99457
986964897,WM00024000,U.S. Civil War Centennial Plaque & Polish Veterans Honor Roll,n/a,War Memorials,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43822199,-79.99750036
1935747520,WM00025000,World War I Honor Roll (East Carnegie),Unknown,War Memorials,East Carnegie Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00025000.jpg,East Carnegie,2,28,42003562800,5,28,6,1-19,40.4149,-80.07481
610837443,WM00026000,World War II Memorial (13th Ward),Allen George Newman,War Memorials,,,East Hills,9,13,42003130600,2,13,5,3-17,40.45509,-79.88013
968710562,WM00027000,World War I Memorial (West End Park),Frank Vittor,War Memorials,West End Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00027000.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.43703,-80.0376
400000318,WM00028000,World War I & II Memorial Honor Roll (15th Ward),n/a,War Memorials,,,Greenfield,5,15,42003151700,3,15,4,2-15,40.42664,-79.93759
550256626,WM00029000,Negley Memorial,n/a,Individual and Historic Monuments,Highland Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00029000.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.48213566,-79.91742321
1822604688,WM00030000,Daughters of the American Revolution Memorial,n/a,Individual and Historic Monuments,Highland Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00030000.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.47965,-79.91528
1290474537,WM00031000,World War I Memorial (Ninth Ward),Frank Vittor,War Memorials,Leslie Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00031000.jpg,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47282,-79.95851
585232683,WM00032000,Abram R. Woolley Tablet,n/a,Individual and Historic Monuments,Arsenal Park,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46666947,-79.96040925
711870693,WM00033000,Allegheny Arsenal Memorial Tablet,n/a,Individual and Historic Monuments,Arsenal Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00033000.jpg,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46683785,-79.96042559
1703055079,WM00034000,Cannon (Lawrenceville),n/a,Individual and Historic Monuments,Arsenal Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00034000.jpg,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46775143,-79.96146822
1941077363,WM00035000,Soldiers & Sailors Memorial Fountain,n/a,War Memorials,Arsenal Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00035000.jpg,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46676316,-79.96039468
908446330,WM00036000,Doughboy,Allen George Newman,War Memorials,,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46305849,-79.96685575
1837310296,WM00038000,All Wars Memorial with Flagpole,n/a,War Memorials,Emerald View Park - Grandview Overlook,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00038000.jpg,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43236,-80.008
841046766,WM00039000,Fourth Ward Memorial,n/a,War Memorials,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00039000.jpg,Central Oakland,3,4,42003040500,3,4,4,2-7,40.44181,-79.95257
1356459606,WM00041000,The Hiker,Allen George Newman,War Memorials,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00041000.jpg,Central Oakland,3,4,42003982200,3,4,4,2-8,40.44183,-79.95048
1930798575,WM00042000,Tree Memorial (Mothers),n/a,War Memorials,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00042000.jpg,Central Oakland,3,4,42003982200,3,4,4,2-8,40.44185,-79.95038
734854316,WM00043000,Tree Memorial (Wives),n/a,War Memorials,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00043000.jpg,Central Oakland,3,4,42003982200,3,4,4,2-8,40.4419,-79.9505
1888758129,WM00044000,World War Monument (Overbrook),n/a,War Memorials,,,Overbrook,4,32,42003320700,5,32,3,4-25,40.38466,-79.99525
2084984076,WM00045000,Polish Hill War Monument,n/a,War Memorials,Polish Hill Monument,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00045000.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45673,-79.96731
2019023380,WM00046000,Memorial Honor Roll (Regent Square),n/a,War Memorials,Frick Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00046000.jpg,Regent Square,5,14,42003141000,3,14,4,2-16,40.43565,-79.89713
717794260,WM00047000,All Wars Memorial (Sheraden),n/a,War Memorials,Sheraden Monument,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00047000.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.4534996,-80.05427169
1408393448,WM00048000,War Memorial (17th Ward),n/a,War Memorials,Armstrong Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00048000.jpg,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42774,-79.98619
2131931109,WM00049000,World War I Honor Roll (16th Ward),n/a,War Memorials,Ormsby Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00049000.jpg,South Side Flats,3,16,42003160900,3,16,3,4-24,40.4285,-79.97409
507830288,WM00050000,World War I Memorial (17th Ward),Stanley Roush,War Memorials,,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4286,-79.98869
1719023957,WM00051000,Pius Street All Wars Memorial,n/a,War Memorials,,,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42454,-79.98099
37901056,WM00052000,World War I & II Memorial Honor Roll,n/a,War Memorials,Catalano Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00052000.jpg,Spring Garden,1,24,42003241200,1,24,1,1-5,40.46019306,-79.99170706
1443643047,WM00053000,World War I Honor Roll (Spring Hill),n/a,War Memorials,,,Spring Hill-City View,1,24,42003262000,1,24,1,1-11,40.46542,-79.99127
1313124103,WM00054000,Veterans Honor Roll,n/a,War Memorials,,,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.4666,-79.99778
1557991689,WM00055000,World War II Honor Roll (Spring Hill-City View),n/a,War Memorials,,,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46289265,-79.99121536
1829743129,WM00056000,Hygeia,Giuseppe Moretti,War Memorials,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00056000.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.4386416,-79.94666776
1270916740,WM00057000,Colonel Alexander Leroy Hawkins,William Couper,Individual and Historic Monuments,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00057000.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.4358,-79.94625
187106589,WM00059000,Catahecassa,Unknown,Individual and Historic Monuments,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00059000.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43545,-79.93566
717533477,WM00060000,World War I Memorial Grove (Allegheny County),n/a,War Memorials,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00060000.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43948,-79.94274
1702440322,WM00061000,Flag Monument,Harvey Schwab,Individual and Historic Monuments,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00061000.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43971461,-79.94669481
870625352,WM00062000,"Veterans Monument - World War I, World War II, Korea, Vietnam",n/a,War Memorials,Vietnam Island,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00062000.jpg,Squirrel Hill South,5,14,42003140800,3,14,4,2-18,40.43793,-79.91283
388313150,WM00063000,Grand Army of the Republic Memorial: Robert Rownd,n/a,Individual and Historic Monuments,Schenley Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00063000.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.44005501,-79.94453776
561964783,WM00064000,Honor Roll (Second Ward),n/a,War Memorials,,,Strip District,7,2,42003020300,6,2,2,2-25,40.45164898,-79.98187755
2062585899,WM00065000,World War I Honor Roll (14th Ward),n/a,War Memorials,Swisshelm War Memorial,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00065000.jpg,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42075,-79.89983
1857419941,WM00066000,World War I Memorial (24th Ward),Unknown,War Memorials,,,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46445,-79.98215
253609478,WM00067000,World War I Memorial (Fifth Ward),Frank Vittor,War Memorials,Robert E. Williams Park,https://tools.wprdc.org/images/pittsburgh/art_monuments/WM00067000.jpg,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45468638,-79.96036502
1597478051,WM00068000,War Memorial (West End),n/a,War Memorials,,,West End,2,20,42003562600,5,20,6,1-17,40.44017961,-80.03421487
1383170303,WM00074000,All Wars Memorial Honoring those of the 28th Ward,n/a,Non-City Owned,,,Crafton Heights,2,28,42003281500,5,28,6,1-17,40.44284969,-80.05258941
1002836340,WM00075000,Duquesne Incline Monument,n/a,Non-City Owned,,,Duquesne Heights,2,19,42003190300,5,19,3,4-1,40.43824984,-80.01883961
922842143,WM00076000,Veterans Honor Roll,n/a,Non-City Owned,,,Duquesne Heights,2,19,42003190300,5,19,3,4-1,40.4362982,-80.0185003
1964815341,WM00078000,Esplen Honor Roll,n/a,Non-City Owned,,,Esplen,2,20,42003562500,5,20,6,1-27,40.46453097,-80.05346705
1611062299,WM00079000,Garfield All Wars Honor Roll,n/a,Non-City Owned,,,Garfield,9,10,42003101700,2,10,5,3-23,40.46476988,-79.93736867
432065645,WM00087000,30th Ward War Service Honor Roll,n/a,Non-City Owned,,,Knoxville,3,30,42003300100,5,30,3,4-7,40.4103638,-79.99049168
1018208371,WM00088000,21st Ward Plaque,n/a,Non-City Owned,,,Manchester,6,21,42003210700,1,21,1,1-8,40.455466,-80.02871464
142195952,WM00096000,Charles P. Samaha Plaque,n/a,Non-City Owned,,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42889385,-79.98736845
1089921133,WM00099000,17th Ward Veterans Memorial,n/a,Non-City Owned,,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42863456,-79.98044322
191395610,WM00101000,Saint Josephat Honor Roll,n/a,Non-City Owned,,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42312946,-79.97348587
628976107,WM00102000,World War II Momument,n/a,Non-City Owned,,,Spring Garden,1,26,42003241200,1,26,1,1-11,40.47178,-79.98667
1309894649,WM00105000,Korean War Veterans Memorial,R. Allan Christianson (Architect),War Memorials,Northshore Riverfront Park,,North Shore,1,22,42003981200,6,22,1,1-7,40.44572568,-80.00808169
1903851764,WM00107000,Vietnam Veterans Memorial,George Danhires,War Memorials,Northshore Riverfront Park,,North Shore,1,22,42003981200,6,22,1,1-7,40.44520711,-80.01083094
